angol	magyar	felvetel	helyes	helytelen
mounting	nyél	2004.04.24	99	20
shiner	ezüstpénz	2005.09.01	49	20
recess	barlang	2003.03.06	68	6
wretchedly	szerencsétlenül	2003.06.26	118	26
devious	kanyargó	2004.08.14	130	22
derelict	bitang	2005.01.30	114	28
dehydration	szárítás	2005.04.19	131	14
wicket	rácsajtó	2004.10.27	101	7
getting	kinyerés	2005.11.07	149	4
fuel	üzemanyag	2004.04.26	90	4
transference	átköltözés	2002.11.28	58	16
preposterously	oktalanul	2002.12.07	57	9
blinkers	villogó	2004.08.08	44	21
virulent	epés	2005.06.27	97	27
size	szám	2003.06.03	130	0
matron	matróna	2003.02.26	139	0
appurtenance	hozzávaló	2003.03.30	45	10
manhood	férfiasság	2005.07.21	104	4
rudeness	gorombaság	2005.07.16	43	8
proud	pompás	2004.07.23	118	27
cutting	csapás	2005.10.17	144	12
cue	biliárddákó	2005.08.29	95	29
prickly	csiklandó	2004.11.23	126	19
rampageous	tomboló	2005.03.17	141	9
insight	intuíció	2002.12.13	59	8
scabies	rühesség	2003.10.31	142	27
precocity	koraérés	2003.03.10	49	15
concordance	egyetértés	2003.03.05	66	29
gouge	rovátka	2005.04.18	103	18
regulations	szabályok	2005.12.02	133	4
bed	fekhely	2005.07.02	55	16
settlement	egyezség	2003.11.15	42	7
perfection	befejezés	2004.09.03	77	11
prize	jutalom	2003.08.13	143	21
sexton	sírásó	2004.11.10	60	14
water	vízállás	2003.03.13	76	12
sinful	vétkes	2003.12.15	68	24
raunchy	szakadt	2004.12.28	143	20
heavy	heves	2002.12.28	137	4
putting	gépbehelyezés	2004.06.08	120	22
prowl	portyázás	2005.07.02	45	6
unmatched	felemás	2003.12.10	153	16
turn	forgás	2005.08.08	141	8
futile	felületes	2003.04.03	116	0
robustful	izmos	2004.05.07	130	24
offset	indulás	2004.01.18	152	18
swelling	dudor	2004.12.09	78	9
professorial	tanáros	2003.01.25	85	0
appraiser	becsüs	2002.12.15	47	1
disagreement	nézetletérés	2004.07.21	68	17
ennui	unalom	2003.04.19	69	26
miserliness	szegényesség	2003.01.30	109	21
hard	éles	2004.10.15	144	25
wormgear	csigakerékhajtás	2005.04.27	124	6
wayfarer	vándorló	2005.02.26	133	21
honour	dísz	2003.10.14	126	15
vinous	részeg	2005.03.20	46	28
desperate	borzalmas	2004.10.22	128	28
prismatic	prizmás	2004.11.28	139	17
composed	higgadt	2005.04.20	142	7
distress	aggódás	2003.08.07	100	15
bifocal	bifokális	2005.06.20	100	2
assay	próba	2002.11.11	51	29
skip	kihagyás	2005.01.17	85	29
wimpy	nyúl	2005.04.08	128	24
clement	kegyelmes	2003.05.07	146	12
extreme	határérték	2004.01.09	140	18
playsuit	rugdalózó	2004.03.08	121	1
rattletraps	kacat	2003.04.09	132	12
cravat	nyakravaló	2003.07.09	57	6
lingo	halandzsa	2003.09.20	142	6
repose	pihenés	2004.04.17	86	2
kettle	katlan	2003.11.19	49	7
romantic	romantikus	2003.01.21	121	8
guniting	habarcslövellés	2004.02.28	124	28
regardless	figyelmetlen	2004.04.11	157	6
fixture	alkatrész	2004.12.03	157	21
franchise	privilégium	2005.11.06	65	21
standing	állomásozás	2004.04.14	124	29
blow	széllökés	2004.06.23	151	14
peaceful	békés	2003.03.21	157	21
wainscot	falábazat	2003.10.05	125	22
grapple	kihorgonyzás	2005.07.08	50	24
snare	hurok	2005.10.16	157	11
stud	dugó	2003.05.06	116	3
crawler	csúszómászó	2004.08.21	72	25
selfsame	ugyanaz	2004.02.08	74	12
pauperization	elszegényedés	2003.02.22	85	12
somber	sötét	2004.07.18	59	23
sequence	képsor	2003.05.25	87	2
striate	hornyolt	2003.05.02	85	21
excretion	váladék	2003.01.24	106	23
striated	csíkos	2003.07.02	124	5
pod	tok	2004.11.27	60	3
peanut	földimogyoró	2005.02.01	53	28
emasculation	elszegényedés	2003.02.03	141	29
goalpost	kapufa	2004.08.15	132	16
honoured	megbecsült	2005.04.17	91	10
hopeful	ígéretes	2005.01.05	91	29
entrance	bejárás	2003.02.17	55	25
kismet	végzet	2004.10.13	98	28
oceanographer	oceanográfus	2004.05.18	73	23
shutdown	üzemszünet	2005.05.09	66	22
incipient	kezdeti	2004.01.10	80	27
vignette	címke	2003.07.30	125	28
crystallization	kikristályosodás	2004.08.03	75	14
frumpish	slampos	2003.05.25	158	28
large	kövér	2005.05.10	126	3
piglet	kismalac	2003.03.01	44	11
again	ezenfelül	2005.09.09	95	4
doleful	gyászos	2002.12.11	81	29
succulence	pozsgásság	2005.09.28	52	10
fender	sárhányó	2005.05.31	143	1
bold	bátor	2003.10.04	122	29
knob	gomb	2004.04.02	84	25
linguist	nyelvész	2005.11.19	115	6
